Depth,Total Be Prod,Spallation Be Prod,Muon Be Prod
g/cm2,at/g/yr,at/g/yr,at/g/yr
0,4.075212566,4.008947986,0.06626458
5,3.95173665,3.885605623,0.066131026
10,3.832018978,3.766058106,0.065960872
15,3.715979119,3.65018868,0.065790439
20,3.603503927,3.53788418,0.065619746
25,3.494483739,3.429034927,0.065448811
30,3.388812264,3.323534614,0.065277651
35,3.286386484,3.221280204,0.065106281
40,3.187106549,3.122171831,0.064934718
45,3.090875681,3.026112702,0.064762978
50,2.997600079,2.933009002,0.064591077
55,2.907188831,2.842769802,0.064419029
60,2.81955382,2.75530697,0.06424685
65,2.73460964,2.670535087,0.064074553
70,2.652273514,2.58837136,0.063902154
75,2.572465212,2.508735545,0.063729667
80,2.495103806,2.431549867,0.06355394
85,2.420120302,2.356738942,0.06338136
90,2.34743844,2.284229708,0.063208732
95,2.276987417,2.213951348,0.063036069
100,2.20869861,2.145835226,0.062863384
105,2.142505505,2.079814817,0.062690689
110,2.078343638,2.015825642,0.062517996
115,2.016150526,1.953805207,0.062345319
120,1.955865608,1.89369294,0.062172667
125,1.897430188,1.835430134,0.062000054
130,1.840787376,1.778959885,0.061827491
135,1.785882032,1.724227043,0.061654988
140,1.732660711,1.671178154,0.061482557
145,1.681071616,1.619761408,0.061310208
150,1.631064541,1.569926588,0.061137952
155,1.582590825,1.521625025,0.0609658
160,1.535603305,1.474809545,0.06079376
165,1.490056269,1.429434425,0.060621844
170,1.445905412,1.385455352,0.060450061
175,1.403107791,1.342829372,0.06027842
180,1.361621785,1.301514855,0.06010693
185,1.321407054,1.261471453,0.059935601
190,1.282424498,1.222660056,0.059764442
195,1.244636222,1.185042761,0.059593461
200,1.208005495,1.148582828,0.059422667
205,1.172496717,1.11324465,0.059252068
210,1.138075384,1.078993713,0.059081672
215,1.104708053,1.045796566,0.058911487
220,1.07236231,1.013620788,0.058741521
225,1.041006738,0.982434955,0.058571783
230,1.010610887,0.952208609,0.058402278
235,0.981145245,0.92291223,0.058233014
240,0.952581206,0.894517206,0.058064
