zone,erate_cmperkyr,error_newcode,my_erate,error_myerate,erate_cosmocalc,error_cosmocalc,erate_cronus,error_cronus,elevation,relief
8,4.15733,0.00218848,57.28,6.7,4.15735,0.00218848,50.07,6.53,1532,501
8,7.2191,0.00395818,94.92,11.97,7.21916,0.00395818,88.6,14.45,1348,355
8,10.6183,0.00586404,138.69,18.01,10.6186,0.00586404,129.39,23.84,1208,913
8,8.07908,0.00419153,105.15,12.37,8.07915,0.00419153,96.89,12.84,1718,471
8,8.40362,0.00453909,110.2,13.71,8.40375,0.00453909,102.65,15.92,1420,526
8,5.31733,0.00281868,76.01,9.38,5.31733,0.00281868,63.85,9.5,1715,186
8,121.403,0.0832826,1655.64,324.4,121.413,0.0832826,1493.94,540.09,1166,1186
8,12.576,0.00652206,163.68,19.18,12.5761,0.00652206,149.4,22.5,1800,644
8,13.3192,0.00718324,187.84,23.34,13.3199,0.00718324,161.1,27.63,1548,812
8,20.5453,0.013401,249.18,47.06,20.5455,0.013401,252.05,81.02,1462,817.991
8,18.6032,0.012568,236.5,50.58,18.6035,0.012568,227.86,79.38,1476,792
8,17.23,0.00940423,214.14,27.04,17.2302,0.00940423,211.12,36.59,1450,817.991
8,22.3133,0.0131544,282.73,44.43,22.3161,0.0131544,268.46,68.52,1297,1904
8,22.1619,0.0133024,279.26,45.14,22.1624,0.0133024,272.83,69.87,1329,1033
8,32.9017,0.0229045,603.75,121.4,32.9025,0.0229045,405.86,150.03,1351,1033
8,91.4951,0.0559182,1315.72,225.14,91.5021,0.0559182,1120.77,307.97,1522,857
8,50.3786,0.0281367,710.58,100.73,50.382,0.0281367,610.43,127.68,1482,941
8,27.9521,0.0170983,346.9,59.78,27.9542,0.0170983,328.7,96.52,1535,1592
8,207.702,0.152699,2428.68,526.78,207.706,0.152699,2498.03,1052.35,1651,299
8,50.6855,0.0269043,660.43,81.76,50.6875,0.0269043,610.15,102.45,1637,907
8,9.98222,0.00555567,157.06,23.76,9.9826,0.00555567,118.94,25,1903,558
8,71.4928,0.0422112,959.17,151.39,71.4957,0.0422112,859.77,222.71,1923,558
8,40.0691,0.0216099,573.44,75.31,40.0692,0.0216099,484.09,86.88,1711,208
8,86.6025,0.0499551,1284.58,187.71,86.6106,0.0499551,1060.55,241.46,1593,807
8,19.1858,0.00984842,249.78,29.34,19.1865,0.00984842,228.07,31.21,1805,501
8,22.6541,0.0117514,308.14,35.74,22.6549,0.0117514,270.9,39.23,1714,588
8,100.915,0.0587668,1460.72,229.15,100.921,0.0587668,1222.21,300.84,1707,836
8,44.7845,0.0241498,562.68,63.39,44.7893,0.0241498,567.94,64.43,533,1649
8,22.496,0.0332015,332.95,146.58,22.4969,0.0332015,286.41,298.55,849,793
8,31.9116,0.0170444,371.17,40.76,31.9139,0.0170444,401.66,44.16,667,1532
8,54.9979,0.0459882,690.82,179.64,54.9999,0.0459882,706.05,347.53,806,833
8,10.0467,0.00767921,144.34,32.32,10.0473,0.00767921,124.95,53.75,773,1384.99
8,21.7389,0.0151705,337.48,66.72,21.7402,0.0151705,278.51,97,941,758
8,7.74085,0.00508327,111.43,20.17,7.74125,0.00508327,95.79,30.1,919,1257
8,12.5836,0.00943546,180.79,40.58,12.5841,0.00943546,157.55,65.1,1024,787
8,10.97,0.00969184,157.68,42.92,10.9706,0.00969184,136.18,74.36,973,1187.98
